City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,ameca,20.55,-104.0333,302.93,23,7,4.09,MX,1683422338
216,tamanrasset,22.785,5.5228,296.1,11,0,4.63,DZ,1683422339
217,nova vicosa,-17.8919,-39.3719,297.83,75,1,4.55,BR,1683422339
218,nar'yan-mar,67.6713,53.087,264.47,95,87,4.48,RU,1683422339
219,kumagunnam,13.1551,10.6342,301.74,11,43,4.02,NG,1683422340
220,vilyuchinsk,52.9306,158.4028,283.3,77,90,2.89,RU,1683422340
221,georgetown,5.4112,100.3354,301.11,89,20,1.54,MY,1683422254
222,guerrero negro,27.9769,-114.0611,289.74,66,0,10.02,MX,1683422342
223,khandyga,62.6667,135.6,275.72,99,100,4.49,RU,1683422343
224,queenstown,-31.8976,26.8753,285.78,80,99,1.07,ZA,1683422212
225,flying fish cove,-10.4217,105.6791,301.97,74,40,4.63,CX,1683422345
226,baume-les-dames,47.353,6.3612,287.75,78,100,1.52,FR,1683422345
227,nuku'alofa,-21.1333,-175.2,301.34,78,40,7.72,TO,1683422214
228,ulsteinvik,62.3432,5.8487,282.77,54,87,0.89,NO,1683422347
229,mbeya,-8.9,33.45,286.15,95,49,2.29,TZ,1683422347
230,hithadhoo,-0.6,73.0833,302.0,74,100,9.23,MV,1683422348
231,bredasdorp,-34.5322,20.0403,287.87,83,92,1.09,ZA,1683422348
232,lorengau,-2.0226,147.2712,303.45,66,20,2.73,PG,1683422349
233,demre,36.2537,29.9777,287.98,86,9,0.52,TR,1683422350
234,port alfred,-33.5906,26.891,287.69,89,53,0.89,ZA,1683422350
235,micheweni,-4.9667,39.8333,298.6,84,20,4.57,TZ,1683422351
236,trairi,-3.2778,-39.2689,298.7,86,17,3.22,BR,1683422342
237,toyooka,35.5333,134.8333,287.18,100,75,3.6,JP,1683422352
238,talnakh,69.4865,88.3972,259.36,94,55,0.79,RU,1683422354
239,yunyang,33.4474,112.7142,290.06,46,98,4.93,CN,1683422354
240,lubumbashi,-11.6609,27.4794,284.44,79,0,1.5,CD,1683422355
241,sinabang,2.4803,96.3801,299.7,84,100,4.98,ID,1683422301
242,nelson bay,-32.7167,152.15,290.42,60,0,8.05,AU,1683422306
243,broken hill,-31.95,141.4333,283.64,44,0,9.12,AU,1683422232
244,porto ferreira,-21.8539,-47.4792,293.4,86,13,0.93,BR,1683422357
245,yulinshi,38.2906,109.7494,285.28,58,100,3.57,CN,1683422357
246,shetpe,44.1667,52.1167,287.31,60,100,1.38,KZ,1683422358
247,lahat,-3.8,103.5333,296.44,98,100,0.87,ID,1683422358
248,bereznik,62.8551,42.7072,269.74,73,100,4.46,RU,1683422359
249,yelizovo,53.1873,158.3805,283.23,39,75,6.0,RU,1683422359
250,uturoa,-16.7333,-151.4333,301.33,72,100,7.06,PF,1683422360
251,port augusta,-32.5,137.7667,287.18,46,94,6.84,AU,1683422360
252,peace river,56.2501,-117.286,291.32,29,100,6.17,CA,1683422361
253,vuktyl,63.8567,57.3094,272.81,99,100,2.6,RU,1683422362
254,minas de marcona,-15.2119,-75.1103,288.79,87,56,5.89,PE,1683422362
255,christchurch,-43.5333,172.6333,289.79,85,100,2.57,NZ,1683422104
256,presidente epitacio,-21.7633,-52.1156,295.57,81,84,2.21,BR,1683422365
257,new norfolk,-42.7826,147.0587,283.66,66,34,1.51,AU,1683422365
258,dumai,1.6833,101.45,297.37,93,100,2.42,ID,1683422366
259,bikenibeu village,1.3673,173.1241,304.13,74,20,5.14,KI,1683422367
260,poso,-1.3959,120.7524,302.65,67,99,1.03,ID,1683422367
261,bardai,11.65,7.2333,298.41,60,100,3.2,NG,1683422368
262,egilsstadir,65.2653,-14.3948,281.1,81,75,3.09,IS,1683422368
263,eyl,7.9803,49.8164,301.75,73,9,5.9,SO,1683422369
264,agat village,13.3886,144.6585,303.35,79,100,0.89,GU,1683422370
265,port shepstone,-30.7414,30.455,294.14,87,99,7.93,ZA,1683422371
266,richmond,37.5538,-77.4603,291.64,68,40,2.57,US,1683421898
